,Passive suicidal ideation,Passive suicidal ideation_include,Passive suicidal ideation_add,Active suicidal ideation & suicidal planning,Active suicidal ideation & suicidal planning_include,Active suicidal ideation & suicidal planning_add,Lethal means for suicide,Lethal means for suicide_include,Lethal means for suicide_add,Direct self-injury,Direct self-injury_include,Direct self-injury_add,Suicide exposure,Suicide exposure_include,Suicide exposure_add,Other suicidal language,Other suicidal language_include,Other suicidal language_add,Hospitalization,Hospitalization_include,Hospitalization_add,Loneliness & isolation,Loneliness & isolation_include,Loneliness & isolation_add,Social withdrawal,Social withdrawal_include,Social withdrawal_add,Relationship issues,Relationship issues_include,Relationship issues_add,Relationships & kinship,Relationships & kinship_include,Relationships & kinship_add,Bullying,Bullying_include,Bullying_add,Sexual abuse & harassment,Sexual abuse & harassment_include,Sexual abuse & harassment_add,Physical abuse & violence,Physical abuse & violence_include,Physical abuse & violence_add,Aggression & irritability,Aggression & irritability_include,Aggression & irritability_add,Alcohol use,Alcohol use_include,Alcohol use_add,Other substance use,Other substance use_include,Other substance use_add,Impulsivity,Impulsivity_include,Impulsivity_add,Defeat & feeling like a failure,Defeat & feeling like a failure_include,Defeat & feeling like a failure_add,Burdensomeness,Burdensomeness_include,Burdensomeness_add,"Shame, self-disgust, & worthlessness","Shame, self-disgust, & worthlessness_include","Shame, self-disgust, & worthlessness_add",Guilt,Guilt_include,Guilt_add,Anxiety,Anxiety_include,Anxiety_add,Panic,Panic_include,Panic_add,Entrapment & desire to escape,Entrapment & desire to escape_include,Entrapment & desire to escape_add,Trauma & PTSD,Trauma & PTSD_include,Trauma & PTSD_add,Agitation,Agitation_include,Agitation_add,Rumination,Rumination_include,Rumination_add,Depressed mood,Depressed mood_include,Depressed mood_add,Anhedonia & uninterested,Anhedonia & uninterested_include,Anhedonia & uninterested_add,Emotional pain & psychache,Emotional pain & psychache_include,Emotional pain & psychache_add,Grief & bereavement,Grief & bereavement_include,Grief & bereavement_add,Existential meaninglessness & purposelessness,Existential meaninglessness & purposelessness_include,Existential meaninglessness & purposelessness_add,Emptiness,Emptiness_include,Emptiness_add,Hopelessness,Hopelessness_include,Hopelessness_add,Perfectionism,Perfectionism_include,Perfectionism_add,Fatigue & tired,Fatigue & tired_include,Fatigue & tired_add,Sleep issues,Sleep issues_include,Sleep issues_add,Psychosis & schizophrenia,Psychosis & schizophrenia_include,Psychosis & schizophrenia_add,Bipolar Disorder,Bipolar Disorder_include,Bipolar Disorder_add,Borderline Personality Disorder,Borderline Personality Disorder_include,Borderline Personality Disorder_add,Eating disorders,Eating disorders_include,Eating disorders_add,Physical health issues & disability,Physical health issues & disability_include,Physical health issues & disability_add,Incarceration,Incarceration_include,Incarceration_add,Poverty & homelessness,Poverty & homelessness_include,Poverty & homelessness_add,Gender & sexual identity,Gender & sexual identity_include,Gender & sexual identity_add,Discrimination,Discrimination_include,Discrimination_add,Finances & work stress,Finances & work stress_include,Finances & work stress_add,Barriers to treatment,Barriers to treatment_include,Barriers to treatment_add,Mental health treatment,Mental health treatment_include,Mental health treatment_add
41,wish I could disappear,,,kill myself,,,knife to my throat,,,self injury,,,,,,let me die,,,,,,introvert,,,want to be alone,,,ghosted,,,foster parent,,,post mean comments about me,,,sex trafficking,,,go to court,,,gloomy,,,glass of,,,blackout,,,wasn't premeditated,,,,,,,,,not good enough,,,responsible,,,indecisive,,,,,,quarantine,,,,,,wired,,,worried,,,laying in bed,,,nothing matters,,,,,,loss of a parent,,,no ambition,,,,,,it's a lost cause,,,perfection,,,weary,,,wake up to pee,,,thought broadcast,,,seroquel,,,risky sex,,,hunger,,,epilepsy,,,warden,,,unhoused,,,female to male,,,deadname,,,employ,,,put on drugs,,,emergency room,,
42,wish I was dead,,,killing me,,,lethal injection,,,self-harm,,,,,,life is over,,,,,,isolate,,,wish to be alone,,,ghosted me,,,foster parents,,,post mean pictures about me,,,sexual assault,,,got physical,,,grouchy,,,hangover,,,cannabinoid,,,,,,,,,,,,pathetic,,,shame,,,indigestion,,,,,,restrained,,,,,,worked up,,,worry,,,low mood,,,numb,,,,,,loss of a partner,,,no aspiration,,,,,,it's all over,,,perfectionism,,,wiped out,,,yawn,,,voice calling my name,,,stable mood,,,scared he'll leave me,,,hungry,,,erectile dysfunction,,,,,,vagrant,,,femenine,,,dehumanization,,,evict,,,side effects,,,escitalopram,,
43,wish I was never born,,,killing myself,,,monoxide,,,self-injurious,,,,,,life is pointless,,,,,,isolated,,,withdrawn,,,ghosting,,,friend,,,post mean things about me,,,sexual exploitation,,,gouge,,,grumpy,,,hard stuff,,,cannabis,,,,,,,,,,,,regret,,,sinful,,,insecure,,,,,,running out of options,,,,,,worried,,,,,,melancholic,,,numbness,,,,,,loss of a spouse,,,no direction,,,,,,it's impossible,,,performance anxiety,,,worn out,,,,,,voices in my head,,,stopped sleeping,,,self harm,,,junk food,,,fatigue,,,,,,welfare,,,feminine,,,denial of rights,,,expense,,,social taboo,,,exercise,,
44,wish I wasn't alive,,,kms,,,muscle relaxer,,,self-injury,,,,,,life is shit,,,,,,isolation,,,,,,grief,,,genetic,,,post nude photos,,,sexual harassment,,,grabbed me,,,harsh,,,hooch,,,capsule,,,,,,,,,,,,remorse,,,sorry,,,insecurity,,,,,,snare,,,,,,worry,,,,,,melancholy,,,unemotional,,,,,,memorial,,,no drive,,,,,,it's over,,,procrastination,,,worn-out,,,,,,,,,talkative,,,self injury,,,kg,,,fever,,,,,,,,,femme,,,denigration,,,expensive,,,stigma,,,eye movement desensitization and reprocessing,,
45,wish I would not wake up,,,knife to my throat,,,narcotics,,,shoot myself,,,,,,life isn't worth living,,,,,,just want someone,,,,,,grudge,,,gf,,,psychological abuse,,,sexual violence,,,grapple,,,hateful,,,hungover,,,chalk,,,,,,,,,,,,self-disgust,,,taboo,,,insomnia,,,,,,stuck,,,,,,,,,,,,miserable,,,uninspired,,,,,,miscarriage,,,no meaning,,,,,,it's too late,,,punctual,,,yawn,,,,,,,,,talks too much,,,self-harm,,,kgs,,,fibromyalgia,,,,,,,,,folx,,,derogatory,,,finance,,,therapy can't,,,facility,,
46,wish it would all end,,,make a will,,,noose,,,skin picking,,,,,,my death,,,,,,lack of social,,,,,,had left me,,,girlfriend,,,push me around,,,slut,,,gun,,,heated,,,intoxicant,,,cialis,,,,,,,,,,,,self-doubt,,,take the blame,,,irritability,,,,,,suffocated,,,,,,,,,,,,misery,,,uninterested,,,,,,missing my brother,,,no motivation,,,,,,it's useless,,,relentless,,,,,,,,,,,,weight gain,,,splitting,,,laxative,,,fracture,,,,,,,,,gay,,,discriminated,,,finances,,,therapy doesn't work,,,get help,,
47,would be better off dead,,,make it look like a accident,,,opiate,,,skin-picking,,,,,,my demise,,,,,,left out,,,,,,he's toxic,,,goddaughter,,,ridicule,,,stalk,,,gunshot,,,heated discussion,,,intoxication,,,cigarete,,,,,,,,,,,,self-hate,,,transgression,,,low self esteem,,,,,,suffocating,,,,,,,,,,,,moody,,,uninvolved,,,,,,missing my dad,,,no point,,,,,,lost hope,,,rigid,,,,,,,,,,,,wellbutrin,,,too angry,,,lbs,,,hard of hearing,,,,,,,,,gaydar,,,discrimination,,,financial crisis,,,therapy is expensive,,,grounding techniques,,
48,,,,on the edge,,,over dose,,,slice my wrist,,,,,,my final act,,,,,,lockdown,,,,,,heartbreak,,,godfather,,,shamed me,,,stalking,,,hands on me,,,hostile,,,jameson,,,cigarette,,,,,,,,,,,,shame,,,was wrong,,,mistrust,,,,,,there is no escape,,,,,,,,,,,,morose,,,unmotivated,,,,,,missing my friend,,,no purpose,,,,,,nihilistic,,,rigorous,,,,,,,,,,,,,,,unsafe sex,,,lose weight,,,have a cold,,,,,,,,,gender,,,discriminatory,,,foreclosure,,,therapy is too expensive,,,group therapy,,
49,,,,over dose,,,over the counter drug,,,slit my wrists,,,,,,needs to be dead,,,,,,lone wolf,,,,,,independence,,,godmother,,,shun,,,statutory rape,,,harm,,,hostility,,,keg,,,cocaine,,,,,,,,,,,,shy,,,wicked,,,my heart is racing,,,,,,there is no exit,,,,,,,,,,,,negative,,,unsatisfying,,,,,,missing my late,,,no reason to live,,,,,,no chance,,,scrupulous,,,,,,,,,,,,,,,unstable relationship,,,loss of appetite,,,have the flu,,,,,,,,,gender apathetic,,,diversity,,,funds,,,therapy won't help,,,hospitalization,,
50,,,,overdose,,,overdose,,,slitting my wrists,,,,,,no one will miss me,,,,,,loneliness,,,,,,infidelity,,,godparent,,,silent treatment,,,title ix,,,harm me,,,hot temper,,,liqour,,,codeine,,,,,,,,,,,,something's wrong with me,,,wish I could take it back,,,my mind is racing,,,,,,to be free,,,,,,,,,,,,not happy,,,why bother,,,,,,missing my mom,,,nothing I want to achieve,,,,,,no end to this,,,self-critical,,,,,,,,,,,,,,,unstable sense of self,,,malnourished,,,headache,,,,,,,,,gender binary,,,diversity and inclusion,,,furlough,,,they judge you,,,hospitalize,,
51,,,,overdosing,,,overdosing,,,stab my self,,,,,,no point in living,,,,,,lonely,,,,,,jealous,,,godson,,,slander,,,took advantage of m,,,hit me,,,hot-headed,,,liquor,,,codone,,,,,,,,,,,,stammer,,,wrongdoing,,,nervous,,,,,,to break free,,,,,,,,,,,,numb,,,,,,,,,missing my parent,,,nothing makes sense,,,,,,no escape,,,slip up,,,,,,,,,,,,,,,,,,malnutrition,,,hearing aid,,,,,,,,,gender diverse,,,dyke,,,gambling,,,treatment-resistant,,,in and out of the clinic,,
52,,,,painless way out,,,pesticide,,,stabbing my self,,,,,,no reason to live,,,,,,lonesome,,,,,,lack of communication,,,grandchild,,,social outcast,,,touched her,,,hits me,,,hothead,,,margarita,,,coke,,,,,,,,,,,,stigma,,,,,,nightmare,,,,,,trapped,,,,,,,,,,,,pessimistic,,,,,,,,,missing my sister,,,pointless,,,,,,no future,,,straight A's,,,,,,,,,,,,,,,,,,my body,,,hearing impaired,,,,,,,,,gender dysphoria,,,ethno-religious bias,,,gig,,,was forced to go to the hospital,,,in and out of the hospital,,
53,,,,poison,,,pills,,,stabbing myself,,,,,,no way out,,,,,,long distance,,,,,,loveless,,,grandchildren,,,spread rumors about me,,,touched me,,,hitting,,,ill will,,,moderation,,,cold turkey,,,,,,,,,,,,stutter,,,,,,on edge,,,,,,want to escape,,,,,,,,,,,,sad,,,,,,,,,missing people,,,purposeless,,,,,,no hope,,,straight As,,,,,,,,,,,,,,,,,,my thighs,,,hearing impairment,,,,,,,,,gender expansive,,,ethnocentrism,,,got fired,,,was hospitalized,,,ketamine,,
54,,,,pull the trigger,,,pistol,,,stick and poke tattoo,,,,,,nothing left to live for,,,,,,losing all my friends,,,,,,loyalty,,,granddaughter,,,spreading rumors,,,touching me,,,insult,,,indignant,,,my sponsor,,,concerta,,,,,,,,,,,,unattractive,,,,,,on the edge,,,,,,want to get out,,,,,,,,,,,,sadness,,,,,,,,,mother's passing,,,senseless,,,,,,no light at the end of the tunnel,,,striving,,,,,,,,,,,,,,,,,,not beautiful,,,heart attack,,,,,,,,,gender expression,,,exclusion,,,grievance,,,,,,lithium,,
55,,,,quick and easy,,,plastic bag,,,sticking a needle in my,,,,,,nothing to live for,,,,,,losing everyone,,,,,,manipulative,,,granddaughters,,,stay home from school,,,unwanted sex,,,intimidate,,,infuriated,,,pint,,,crack,,,,,,,,,,,,undeserving,,,,,,overthinking,,,,,,want to leave,,,,,,,,,,,,sertraline,,,,,,,,,mourning,,,shitty life,,,,,,no relief,,,succeed at everything,,,,,,,,,,,,,,,,,,not eating enough,,,heart failure,,,,,,,,,gender identity,,,fag,,,hustler,,,,,,medication,,
56,,,,quick and painless,,,poison,,,trichotillomania,,,,,,nothing to lose,,,,,,lost everyone,,,,,,marriage counseling,,,grandfather,,,talk bad about me,,,vagina,,,kick,,,intruding,,,pub,,,crank,,,,,,,,,,,,unimportant,,,,,,overwhelm,,,,,,want to start again,,,,,,,,,,,,somber,,,,,,,,,my brother died,,,superfluous,,,,,,no solution,,,successful,,,,,,,,,,,,,,,,,,not hungry,,,herniated disk,,,,,,,,,gender nonconforming,,,faggot,,,impoverished,,,,,,medicine,,
57,,,,rope around my neck,,,precipice,,,urge to cut,,,,,,only thing keeping me going,,,,,,make friends,,,,,,mediation,,,grandma,,,talk behind my back,,,victim-blaming,,,kicked me,,,invading,,,recovery,,,craving,,,,,,,,,,,,unlovable,,,,,,overwhelmed,,,,,,,,,,,,,,,,,,sorrow,,,,,,,,,my dad died,,,there's no point to life,,,,,,no way out,,,the better I do,,,,,,,,,,,,,,,,,,not pretty,,,high blood pressure,,,,,,,,,gender roles,,,fanatical,,,income,,,,,,meditation,,
58,,,,run in front of traffic,,,prescription drug,,,wound myself,,,,,,ready to die,,,,,,make new friends,,,,,,mistreat,,,grandmother,,,taunted,,,violate,,,kidnap,,,irate,,,rehab,,,cravings,,,,,,,,,,,,unworthiness,,,,,,panic,,,,,,,,,,,,,,,,,,teary,,,,,,,,,my father died,,,trivial,,,,,,nothing can help,,,thorough,,,,,,,,,,,,,,,,,,number on the scale,,,high tension,,,,,,,,,gender variant,,,fat shaming,,,inflation,,,,,,mindfulness,,
59,,,,self-harm,,,razor,,,,,,,,,safety check,,,,,,need someone,,,,,,monogamy,,,grandpa,,,tease,,,violated,,,knocked me,,,irritability,,,relapse,,,crystal,,,,,,,,,,,,unworthy,,,,,,panic attack,,,,,,,,,,,,,,,,,,tragic,,,,,,,,,my grandfather died,,,unfulfilled,,,,,,pessimism,,,too demanding,,,,,,,,,,,,,,,,,,obese,,,hives,,,,,,,,,genderfluid,,,feminism,,,insurance,,,,,,mood stabilizer,,
60,,,,set myself on fire,,,revolver,,,,,,,,,safety plan,,,,,,never there for me,,,,,,my ex,,,grandparent,,,tease me,,,violation,,,lash out,,,irritable,,,rum,,,detox,,,,,,,,,,,,useless,,,,,,panic attacks,,,,,,,,,,,,,,,,,,unhappy,,,,,,,,,my grandmother died,,,unfulfilling,,,,,,pessimistic,,,unrealistic expectations,,,,,,,,,,,,,,,,,,obesity,,,hormone,,,,,,,,,genderqueer,,,gender bias,,,investment,,,,,,motivational interviewing,,
61,,,,shoot myself,,,rope,,,,,,,,,severe depression,,,,,,no friends,,,,,,narcissis,,,grandparents,,,tell me to kill myself,,,was abused,,,murder,,,irritated,,,shot of,,,diazepam,,,,,,,,,,,,waste of space,,,,,,panic disorder,,,,,,,,,,,,,,,,,,upset,,,,,,,,,my loss,,,unimportant,,,,,,pointless,,,winner,,,,,,,,,,,,,,,,,,orthorexia,,,hypertension,,,,,,,,,girl,,,gender discrimination,,,job,,,,,,need help,,
62,,,,shooting myself,,,run in front of traffic,,,,,,,,,sick of life,,,,,,no one I can talk to,,,,,,need space,,,grandson,,,terrorize,,,was touched,,,physical abuse,,,irritation,,,sober,,,do drugs,,,,,,,,,,,,what's wrong with me,,,,,,paranoia,,,,,,,,,,,,,,,,,,weep,,,,,,,,,my mom died,,,valueless,,,,,,there's no hope,,,workaholic,,,,,,,,,,,,,,,,,,over eat,,,infection,,,,,,,,,graysexual,,,gender pay gap,,,job security,,,,,,neurofeedback,,
63,,,,slam my car,,,sedative,,,,,,,,,sick of my life,,,,,,no one cares,,,,,,neglect,,,grandsons,,,took my lunch money,,,,,,physical altercation,,,lash out,,,sobriety,,,dope,,,,,,,,,,,,world will be better without me,,,,,,petrified,,,,,,,,,,,,,,,,,,wistful,,,,,,,,,my mother died,,,void,,,,,,unachievable,,,,,,,,,,,,,,,,,,,,,overweight,,,inflammation,,,,,,,,,gynesexual,,,genderism,,,jobless,,,,,,olanzapine,,
64,,,,slash my wrist,,,setting myself on fire,,,,,,,,,suicidal,,,,,,no one misses me,,,,,,no privacy,,,granny,,,torment,,,,,,physical harm,,,livid,,,spirits,,,doping,,,,,,,,,,,,worthless,,,,,,phobia,,,,,,,,,,,,,,,,,,without purpose,,,,,,,,,my sister died,,,wandering,,,,,,unending misery,,,,,,,,,,,,,,,,,,,,,perfectionism,,,injury,,,,,,,,,gynosexual,,,gerontophobia,,,laid off,,,,,,omega-3,,
65,,,,slashing my wrists,,,sharp object,,,,,,,,,suicidal behavior,,,,,,no one to hang,,,,,,passive-aggressive,,,half-brother,,,tough guy,,,,,,physically attacked,,,mad,,,tequila,,,dosage,,,,,,,,,,,,,,,,,,phobic,,,,,,,,,,,,,,,,,,woeful,,,,,,,,,obituary,,,what's the point of life,,,,,,without hope,,,,,,,,,,,,,,,,,,,,,physical appearance,,,irritable bowel syndrome,,,,,,,,,hermie,,,ghetto,,,landlord,,,,,,peer support,,
66,,,,slit my wrist,,,shoot myself,,,,,,,,,suicidal intent,,,,,,no one to talk,,,,,,poly,,,half-sister,,,try to make me feel bad,,,,,,police,,,malevolent,,,the bar,,,dose,,,,,,,,,,,,,,,,,,procrastinate,,,,,,,,,,,,,,,,,,,,,,,,,,,our loss,,,without direction,,,,,,won't get it,,,,,,,,,,,,,,,,,,,,,pica,,,itch,,,,,,,,,heterosexual,,,glass ceiling,,,layoff,,,,,,prescribe,,
67,,,,slitting my wrists,,,shooting myself,,,,,,,,,suicidal tendencies,,,,,,no one to talk to,,,,,,polyamory,,,honeymoon,,,verbal abuse,,,,,,police report,,,malicious,,,the club,,,drug,,,,,,,,,,,,,,,,,,racing thoughts,,,,,,,,,,,,,,,,,,,,,,,,,,,pain of loss,,,without purpose,,,,,,,,,,,,,,,,,,,,,,,,,,,pounds,,,kidney disease,,,,,,,,,homophob,,,gulag,,,loan,,,,,,primary care,,
68,,,,stab my self,,,shotgun,,,,,,,,,suicidal thoughts,,,,,,no one to turn to,,,,,,possessive,,,house mate,,,,,,,,,pull my hair,,,malignant,,,tipsy,,,drugs,,,,,,,,,,,,,,,,,,restless,,,,,,,,,,,,,,,,,,,,,,,,,,,pass away,,,without reason,,,,,,,,,,,,,,,,,,,,,,,,,,,purge,,,kidney stone,,,,,,,,,homosexual,,,hate speech,,,lose my scholarship,,,,,,professional help,,
69,,,,stabbing my self,,,skyscraper,,,,,,,,,suicidality,,,,,,no one wants me here,,,,,,power struggle,,,housemate,,,,,,,,,punch,,,moody,,,twelve-step,,,dxm,,,,,,,,,,,,,,,,,,restlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,passed away,,,worthlessness,,,,,,,,,,,,,,,,,,,,,,,,,,,purging,,,leukemia,,,,,,,,,hormones,,,heterosexism,,,make ends meet,,,,,,psychedelic,,
70,,,,stabbing myself,,,slice my wrist,,,,,,,,,suicide,,,,,,no one will miss me,,,,,,pregnancy,,,hubby,,,,,,,,,punched me,,,name calling,,,urge to drink,,,ecstasy,,,,,,,,,,,,,,,,,,ruminate,,,,,,,,,,,,,,,,,,,,,,,,,,,put my cat down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restrict,,,liver disease,,,,,,,,,identity crisis,,,hillbilly,,,million,,,,,,psychedelics,,
71,,,,suffocating my,,,slitting my wrists,,,,,,,,,the end of my rope,,,,,,no partner,,,,,,pregnant,,,husband,,,,,,,,,push,,,offend,,,vodka,,,escitalopram,,,,,,,,,,,,,,,,,,rumination,,,,,,,,,,,,,,,,,,,,,,,,,,,put my dog down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,restricting,,,malnourished,,,,,,,,,intersex,,,homophobia,,,money,,,,,,psychiatr,,
72,,,,suffocation,,,stab my self,,,,,,,,,thing that kept me going,,,,,,no social life,,,,,,psychological abuse,,,in-laws,,,,,,,,,pushed me,,,offensive,,,whiskey,,,fentanyl,,,,,,,,,,,,,,,,,,scare,,,,,,,,,,,,,,,,,,,,,,,,,,,remembrance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skinny,,,malnutrition,,,,,,,,,lady boy,,,homophobic,,,mortgage,,,,,,psychiatrist,,
73,,,,suicidal behavior,,,stabbing my self,,,,,,,,,tired of life,,,,,,nobody thinks about me,,,,,,reach out,,,kin,,,,,,,,,report him,,,on edge,,,whisky,,,gabapentin,,,,,,,,,,,,,,,,,,social anxiety,,,,,,,,,,,,,,,,,,,,,,,,,,,she died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,skip meals,,,meningitis,,,,,,,,,ladyboy,,,immigrant,,,my credit,,,,,,psychoanalysis,,
74,,,,suicidal intent,,,stabbing myself,,,,,,,,,want to end this,,,,,,nobody wants me here,,,,,,reconciliation,,,kindred,,,,,,,,,restrain,,,opposed,,,wine,,,get high,,,,,,,,,,,,,,,,,,stress,,,,,,,,,,,,,,,,,,,,,,,,,,,they are dead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,starvation,,,metastasis,,,,,,,,,lesbian,,,incel,,,negotiate,,,,,,psycholog,,
75,,,,suicide attempt,,,suffocation,,,,,,,,,want to not be here,,,,,,not in a relationship,,,,,,relationship was toxic,,,mama,,,,,,,,,restraining order,,,outburst,,,withdrawal,,,hallucinate,,,,,,,,,,,,,,,,,,tense,,,,,,,,,,,,,,,,,,,,,,,,,,,tragic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,starve,,,migraine,,,,,,,,,lgbt,,,inclusion,,,network,,,,,,psychologist,,
76,,,,suicide note,,,suicide bag,,,,,,,,,what's the point of living,,,,,,not married,,,,,,resentment,,,marital,,,,,,,,,rough up,,,petulant,,,,,,hallucinogen,,,,,,,,,,,,,,,,,,tension,,,,,,,,,,,,,,,,,,,,,,,,,,,when he was alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,starving,,,miscarriage,,,,,,,,,lgbtq,,,inequality,,,occupation,,,,,,pump my stomach,,
77,,,,take my own life,,,taking all the pills,,,,,,,,,when I die,,,,,,not popular,,,,,,rivalry,,,marriage,,,,,,,,,self-defense,,,pissed off,,,,,,hangover,,,,,,,,,,,,,,,,,,terrified,,,,,,,,,,,,,,,,,,,,,,,,,,,when she was alive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stopped eating,,,nausea,,,,,,,,,lithsexual,,,inequity,,,out of business,,,,,,quetiapine,,
78,,,,taking all the pills,,,tall building,,,,,,,,,when I'm dead,,,,,,one friend,,,,,,self-centered,,,married,,,,,,,,,shake me,,,predatory,,,,,,hash,,,,,,,,,,,,,,,,,,terrify,,,,,,,,,,,,,,,,,,,,,,,,,,,widow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thigh gap,,,obesity,,,,,,,,,male,,,ingroup,,,overwork,,,,,,safety check,,
79,,,,thought about jumping off,,,tried OD,,,,,,,,,when I'm gone,,,,,,outcast,,,,,,selfish,,,marry,,,,,,,,,shot me,,,quarrel,,,,,,heroin,,,,,,,,,,,,,,,,,,terror,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,thin,,,osteoporosis,,,,,,,,,man,,,insult me,,,overworked,,,,,,self-care,,
80,,,,tried OD,,,tried to OD,,,,,,,,,when I'm not around,,,,,,outlier,,,,,,separation,,,mate,,,,,,,,,shout,,,rage,,,,,,heroine,,,,,,,,,,,,,,,,,,torment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,throw up,,,pain,,,,,,,,,masculine,,,intersectionality,,,owner,,,,,,self-help,,
81,,,,tried to OD,,,weapon,,,,,,,,,will be dead,,,,,,people are not caring,,,,,,sex,,,mentor,,,,,,,,,shove,,,raging,,,,,,hung over,,,,,,,,,,,,,,,,,,torture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,throwing up,,,panic attack,,,,,,,,,men,,,intersexism,,,paid,,,,,,sertraline,,
82,,,,want to end it,,,,,,,,,,,,wish I'd never been born,,,,,,peripheral,,,,,,sexual abuse,,,mom,,,,,,,,,slam the door,,,resent,,,,,,in recovery,,,,,,,,,,,,,,,,,,trembling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ugly,,,parkinson's,,,,,,,,,men who have sex with men,,,intolerance,,,pay off,,,,,,stimulant,,
83,,,,want to jump,,,,,,,,,,,,won't matter if I die,,,,,,quarantine,,,,,,she's toxic,,,mother,,,,,,,,,slammed me,,,resentment,,,,,,inject,,,,,,,,,,,,,,,,,,troubled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,underweight,,,period pain,,,,,,,,,monosexual,,,kike,,,paycheck,,,,,,stomach pumping,,
84,,,,will be dead,,,,,,,,,,,,,,,,,,reclusive,,,,,,silent treatment,,,mother in law,,,,,,,,,slap,,,restlessness,,,,,,intoxicant,,,,,,,,,,,,,,,,,,uncertainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,unhealthy weight,,,pneumonia,,,,,,,,,msm (men who have sex with men),,,kyke,,,payment,,,,,,stress management,,
85,,,,wreck my car,,,,,,,,,,,,,,,,,,seclusion,,,,,,single dad,,,my baby,,,,,,,,,slapped me,,,riled,,,,,,intoxicated,,,,,,,,,,,,,,,,,,unease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,very thin,,,rash,,,,,,,,,mtf (male to female),,,make america great again,,,pension,,,,,,support groups,,
86,,,,wreck my truck,,,,,,,,,,,,,,,,,,shy,,,,,,single mom,,,my ex,,,,,,,,,smack,,,scream,,,,,,intoxication,,,,,,,,,,,,,,,,,,unnerved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vomit,,,sclerosis,,,,,,,,,multigender,,,male privilege,,,performance,,,,,,talk to someone,,
87,,,,write a will,,,,,,,,,,,,,,,,,,single dad,,,,,,single parent,,,my kid,,,,,,,,,spank,,,seething,,,,,,juul,,,,,,,,,,,,,,,,,,worried,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weight,,,seeing impaired,,,,,,,,,neutrois,,,marginalization,,,poverty,,,,,,therapist,,
88,,,,,,,,,,,,,,,,,,,,,,single mom,,,,,,stonewall,,,my relative,,,,,,,,,spit in my face,,,sensitive,,,,,,ketamine,,,,,,,,,,,,,,,,,,worry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weightlift,,,seizure,,,,,,,,,non binary,,,microaggression,,,price,,,,,,therapy,,
89,,,,,,,,,,,,,,,,,,,,,,single parent,,,,,,they're toxic,,,neighbor,,,,,,,,,stab,,,snappy,,,,,,klonopin,,,,,,,,,,,,,,,,,,xanax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,weightloss,,,sick,,,,,,,,,non-binary,,,migrant,,,productivity,,,,,,to the ER,,
90,,,,,,,,,,,,,,,,,,,,,,social isolation,,,,,,toxic relationship,,,nephew,,,,,,,,,stabbing me,,,spiteful,,,,,,kratom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,worry about weight,,,somatic,,,,,,,,,nonbinary,,,misandry,,,promotion,,,,,,transcranial magnetic stimulation,,
91,,,,,,,,,,,,,,,,,,,,,,solitary,,,,,,toxic relatioship,,,newborn,,,,,,,,,strangle,,,temperamental,,,,,,laced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,you're fat,,,somatization,,,,,,,,,omnisexual,,,misogynist,,,property,,,,,,treated for,,
