,lexicon_name,clean_name,category,representative_example,notes
113,Intrj_GI,interjections_gi,grammatical,"amen, nope, damn, farewell",
114,Iav_GI,action_interpretation_gi,verbs,"encourage, mislead, flatter",
115,Dav_GI,action_gi,verbs,"run, walk, write, read",
116,Sv_GI,emotion_verbs_gi,verbs,"love, has, abhor",
117,Ipadj_GI,relations_adjetives_gi,adjetives,"unkind, aloof, suppoortive",
118,Indadj_GI,descriptive_adjetives_gi,adjetives,"thrifty, restless, banal",
119,Powgain_Lasswell,power_gain_lasswell,power,"emancipation, help, restore",
120,Powloss_Lasswell,power_loss_lasswell,power,"arrest, domination, lost",
121,Powends_Lasswell,power_ends_lasswell,power,"ambition, leadership, weak",
122,Powaren_Lasswell,power_arenas_lasswell,power,"africa, capitol, europe",
123,Powcon_Lasswell,power_conflict_lasswell,power,"adversary, club, mine",
124,Powcoop_Lasswell,power_cooperation_lasswell,power,"ally, collective, share",
125,Powaupt_Lasswell,power_authoritative_partcipants_lassweell,power,"authority, delagate, elite",
126,Powpt_Lasswell,power_ordinary_participantts_lasswell,power,"agent, director, participant",
127,Powdoct_Lasswell,power_doctrine_lasswell,power,"capitalism, liberalism, socialism",
128,Powauth_Lasswell,authoritative_power_lasswell,power,"elect, official, regime",
129,Powoth_Lasswell,power_other_lasswell,power,"despotism, force, muscular",
130,Powtot_Lasswell,power_total_lasswell,power,"accede, ban, guidance",
131,Rcethic_Lasswell,rectitude_ethics_lasswell,rectitude,"cheat, injustice, moral",
132,Rcrelig_Lasswell,rectitude_religion_lasswell,rectitude,"christian, church, religious",
133,Rcgain_Lasswell,rectitude_gain_lasswell,rectitude,"worship, forgive, blame",
134,Rcloss_Lasswell,rectitude_loss_lasswell,rectitude,"sin, denounce, dishonor",
135,Rcends_Lasswell,rectitude_ends_lasswell,rectitude,"heaven, ought, solemn",
136,Rctot_Lasswell,rectitude_total_lasswell,rectitude,"betrayal, desert, wrong",
137,Rspgain_Lasswell,respect_gain_lasswell,respect,"congratulation, admire, honor",
138,Rsploss_Lasswell,respect_loss_lasswell,respect,"shame, abuse, ridicule",
139,Rspoth_Lasswell,respect_other_lasswell,respect,"age, beg, tradition",
140,Rsptot_Lasswell,respect_total_lasswell,respect,"face, host, prize",
141,Affgain_Lasswell,affection_gain_lasswell,affecttion,"affair, date, kiss",
142,Affloss_Lasswell,affection_loss_lasswell,affecttion,"abandon, alone, divorce",
143,Affpt_Lasswell,affection_participant_lasswell,affecttion,"bachelor, dad, sister",
144,Affoth_Lasswell,affection_other_lasswell,affecttion,"baby, loyal, popular",
145,Afftot_Lasswell,affection_total_lasswell,affecttion,"cordial, fellow, seller",
146,Wltpt_Lasswell,wealth_participant_lasswell,wealth,"assesor, consumer, owner",
147,Wlttran_Lasswell,wealth_transaction_lasswell,wealth,"afford, expend, trade",
148,Wltoth_Lasswell,wealth_other_lasswell,wealth,"abundant, buy, export",
149,Wlttot_Lasswell,wealth_total_lasswell,wealth,"agriculture, borrow, income",
150,Wlbgain_Lasswell,well_being_gain_lasswell,well-being,"cheer, hear, relax",
151,Wlbloss_Lasswell,well_being_loss_lasswell,well-being,"disability, ill, shock",
152,Wlbphys_Lasswell,well_being_physical_aspects_lasswell,well-being,"alive, bleed, meat",
153,Wlbpsyc_Lasswell,well_being_psychological_aspects_lasswell,well-being,"afraid, joy, worry",
154,Wlbpt_Lasswell,well_being_participant_lasswell,well-being,"child, dentist, sitter",
155,Wlbtot_Lasswell,well_being_total_lasswell,well-being,"ball, knee, victim",
156,Enlgain_Lasswell,enlightment_gain_lasswell,enlightment,"case, eye, voice",
157,Enlloss_Lasswell,enlightment_loss_lasswell,enlightment,"ignore, misguide, overlook",
158,Enlends_Lasswell,enlightment_ends_lasswell,enlightment,"discover, examine, found",
159,Enlpt_Lasswell,enlightment_participant_lasswell,enlightment,"advisor, explorer, intellectual",
160,Enloth_Lasswell,enlightment_other_lasswell,enlightment,"abstraction, educated, point",
161,Enltot_Lasswell,enlightment_total_lasswell,enlightment,"argue, hear, spoke",
162,Sklasth_Lasswell,skill_aesthetic_lasswell,skill,"art, rock, poetry",
163,Sklpt_Lasswell,skill_participant_lasswell,skill,"baker, champion, runner",
164,Skloth_Lasswell,skill_other_lasswell,skill,"adept, play, work",
165,Skltot_Lasswell,skill_total_lasswell,skill,"artist, genius, kitchen",
166,Trngain_Lasswell,accomplishment_lasswell,remaining,"acquire, add, fill",
167,Trnloss_Lasswell,setbacks_lasswell,remaining,"break, deprive, kill",
168,Tranlw_Lasswell,transaction_lasswell,remaining,"diminish, judge, pool",
169,Meanslw_Lasswell,means_lasswell,remaining,"advantage, plan, steady",
170,Endslw_Lasswell,goals_lasswell,remaining,"accelerate, business, instance",
171,Arenalw_Lasswell,settings_lasswell,remaining,"field, hemisphere, globe",
172,Ptlw_Lasswell,participants_lasswell,remaining,"girl, men, refugee",
173,Nation_Lasswell,nations_lasswell,remaining,"crete, mexico, union",
174,Anomie_Lasswell,negation_value_lasswell,remaining,"anarchy, gloom, nihilism",
175,Negaff_Lasswell,negative_affect_lasswell,remaining,"abnormal, severe, wrong",
176,Posaff_Lasswell,positive_affect_lasswell,remaining,"accept, triumph, welcome",
177,Surelw_Lasswell,certainty_lasswell,remaining,"absolute, certain, material",
178,If_Lasswell,uncertainty_lasswell,remaining,"about, indecisive, may",
179,Notlw_Lasswell,denial_lasswell,negation,"cannot, no, refuse",
180,Timespc_Lasswell,space_time_lasswell,remaining,"above, day, old",
181,formlw_Lasswell,communication_tools_lasswell,remaining,"adress, income, language",
182,Anger_NRC,anger_nrc,emotion,"frenetic, fury, supremacy",
183,Anticipation_NRC,anticipation_nrc,emotion,"luck, expected, diplomacy",
184,Disgust_NRC,disgust_nrc,emotion,"nicotine, tyrant, contempt",
185,Fear_NRC,fear_nrc,emotion,"devil, monstrosity, abuse",
186,Joy_NRC,joy_nrc,emotion,"glee, chocolate, heroic",
187,Negative_NRC,negative_nrc,emotion,"arrogant, kidnap, lack",
188,Positive_NRC,positive_nrc,emotion,"greeting, priest, hire",
189,Sadness_NRC,sadness_nrc,emotion,"confession, mournful, lament",
190,Surprise_NRC,surprise_nrc,emotion,"opera, clown, shock",
191,Trust_NRC,trust_nrc,emotion,"glow, bodyguard, teach",
