,Passive suicidal ideation,Passive suicidal ideation_include,Passive suicidal ideation_add,Active suicidal ideation & suicidal planning,Active suicidal ideation & suicidal planning_include,Active suicidal ideation & suicidal planning_add,Lethal means for suicide,Lethal means for suicide_include,Lethal means for suicide_add,Direct self-injury,Direct self-injury_include,Direct self-injury_add,Suicide exposure,Suicide exposure_include,Suicide exposure_add,Other suicidal language,Other suicidal language_include,Other suicidal language_add,Hospitalization,Hospitalization_include,Hospitalization_add,Loneliness & isolation,Loneliness & isolation_include,Loneliness & isolation_add,Social withdrawal,Social withdrawal_include,Social withdrawal_add,Relationship issues,Relationship issues_include,Relationship issues_add,Relationships & kinship,Relationships & kinship_include,Relationships & kinship_add,Bullying,Bullying_include,Bullying_add,Sexual abuse & harassment,Sexual abuse & harassment_include,Sexual abuse & harassment_add,Physical abuse & violence,Physical abuse & violence_include,Physical abuse & violence_add,Aggression & irritability,Aggression & irritability_include,Aggression & irritability_add,Alcohol use,Alcohol use_include,Alcohol use_add,Other substance use,Other substance use_include,Other substance use_add,Impulsivity,Impulsivity_include,Impulsivity_add,Defeat & feeling like a failure,Defeat & feeling like a failure_include,Defeat & feeling like a failure_add,Burdensomeness,Burdensomeness_include,Burdensomeness_add,"Shame, self-disgust, & worthlessness","Shame, self-disgust, & worthlessness_include","Shame, self-disgust, & worthlessness_add",Guilt,Guilt_include,Guilt_add,Anxiety,Anxiety_include,Anxiety_add,Panic,Panic_include,Panic_add,Entrapment & desire to escape,Entrapment & desire to escape_include,Entrapment & desire to escape_add,Trauma & PTSD,Trauma & PTSD_include,Trauma & PTSD_add,Agitation,Agitation_include,Agitation_add,Rumination,Rumination_include,Rumination_add,Depressed mood,Depressed mood_include,Depressed mood_add,Anhedonia & uninterested,Anhedonia & uninterested_include,Anhedonia & uninterested_add,Emotional pain & psychache,Emotional pain & psychache_include,Emotional pain & psychache_add,Grief & bereavement,Grief & bereavement_include,Grief & bereavement_add,Existential meaninglessness & purposelessness,Existential meaninglessness & purposelessness_include,Existential meaninglessness & purposelessness_add,Emptiness,Emptiness_include,Emptiness_add,Hopelessness,Hopelessness_include,Hopelessness_add,Perfectionism,Perfectionism_include,Perfectionism_add,Fatigue & tired,Fatigue & tired_include,Fatigue & tired_add,Sleep issues,Sleep issues_include,Sleep issues_add,Psychosis & schizophrenia,Psychosis & schizophrenia_include,Psychosis & schizophrenia_add,Bipolar Disorder,Bipolar Disorder_include,Bipolar Disorder_add,Borderline Personality Disorder,Borderline Personality Disorder_include,Borderline Personality Disorder_add,Eating disorders,Eating disorders_include,Eating disorders_add,Physical health issues & disability,Physical health issues & disability_include,Physical health issues & disability_add,Incarceration,Incarceration_include,Incarceration_add,Poverty & homelessness,Poverty & homelessness_include,Poverty & homelessness_add,Gender & sexual identity,Gender & sexual identity_include,Gender & sexual identity_add,Discrimination,Discrimination_include,Discrimination_add,Finances & work stress,Finances & work stress_include,Finances & work stress_add,Barriers to treatment,Barriers to treatment_include,Barriers to treatment_add,Mental health treatment,Mental health treatment_include,Mental health treatment_add
40,why am I still alive,,,jumping off a bridge,,,knife,,,self harm,,,suicide contagion,,,kill me,,,inpatient unit,,,introversion,,,want people to leave me alone,,,gaslight,,,foster children,,,picked on,,,sex slave,,,get beat up,,,gaslight,,,gin,,,benzodiazepine,,,volatile,,,break,,,burden,,,not deserving of life,,,responsibility,,,hypochondria,,,afraid,,,quagmire,,,EMDR,,,wandering,,,want my brain to shut off,,,knocked down,,,nothing is fun,,,emotional pain,,,loss of a friend,,,nihilistic,,,do not feel anything,,,it'll never get better,,,perfect,,,too tired,,,wake up earlier than usual,,,thought blocking,,,risky behavior,,,relationship fell apart,,,hideous,,,eczema,,,verdict,,,transitional housing,,,female,,,culturally appropriate,,,economy,,,no therapists in my area,,,dosage,,
41,wish I could disappear,,,kill myself,,,knife to my throat,,,self injury,,,suicide crisis,,,let me die,,,mental health facility,,,introvert,,,want to be alone,,,ghosted,,,foster parent,,,post mean comments about me,,,sex trafficking,,,go to court,,,gloomy,,,glass of,,,blackout,,,wasn't premeditated,,,can not do this anymore,,,dead weight,,,not good enough,,,responsible,,,indecisive,,,catastrophic thinking,,,quarantine,,,PTSD,,,wired,,,worried,,,laying in bed,,,nothing matters,,,emotional suffering,,,loss of a parent,,,no ambition,,,drain,,,it's a lost cause,,,perfection,,,weary,,,wake up to pee,,,thought broadcast,,,seroquel,,,risky sex,,,hunger,,,epilepsy,,,warden,,,unhoused,,,female to male,,,deadname,,,employ,,,put on drugs,,,emergency room,,
42,wish I was dead,,,killing me,,,lethal injection,,,self-harm,,,suicide epidemic,,,life is over,,,mental hospital,,,isolate,,,wish to be alone,,,ghosted me,,,foster parents,,,post mean pictures about me,,,sexual assault,,,got physical,,,grouchy,,,hangover,,,cannabinoid,,,I be not think,,,can not take any more of this,,,demand,,,pathetic,,,shame,,,indigestion,,,catastrophize,,,restrained,,,TW,,,worked up,,,worry,,,low mood,,,numb,,,emotional trauma,,,loss of a partner,,,no aspiration,,,emptiness,,,it's all over,,,perfectionism,,,wiped out,,,yawn,,,voice calling my name,,,stable mood,,,scared he'll leave me,,,hungry,,,erectile dysfunction,,,arrest,,,vagrant,,,femenine,,,dehumanization,,,evict,,,side effects,,,escitalopram,,
43,wish I was never born,,,killing myself,,,monoxide,,,self-injurious,,,suicide in the news,,,life is pointless,,,psych unit,,,isolated,,,withdrawn,,,ghosting,,,friend,,,post mean things about me,,,sexual exploitation,,,gouge,,,grumpy,,,hard stuff,,,cannabis,,,act on impulse,,,can not take it anymore,,,dependent,,,regret,,,sinful,,,insecure,,,chest pain,,,running out of options,,,abuse,,,worried,,,can not stop think,,,melancholic,,,numbness,,,grief,,,loss of a spouse,,,no direction,,,empty,,,it's impossible,,,performance anxiety,,,worn out,,,rem sleep,,,voices in my head,,,stopped sleeping,,,self harm,,,junk food,,,fatigue,,,bail,,,welfare,,,feminine,,,denial of rights,,,expense,,,social taboo,,,exercise,,
44,wish I wasn't alive,,,kms,,,muscle relaxer,,,self-injury,,,suicide note,,,life is shit,,,psych ward,,,isolation,,,I avoid crowd,,,grief,,,genetic,,,post nude photos,,,sexual harassment,,,grabbed me,,,harsh,,,hooch,,,capsule,,,act without think,,,crush,,,difficult for I to ask for help,,,remorse,,,sorry,,,insecurity,,,crisis,,,snare,,,abusive,,,worry,,,chew over,,,melancholy,,,unemotional,,,guilt,,,memorial,,,no drive,,,ennui,,,it's over,,,procrastination,,,worn-out,,,apnea,,,I be god,,,talkative,,,self injury,,,kg,,,fever,,,behind bar,,,affordable housing,,,femme,,,denigration,,,expensive,,,stigma,,,eye movement desensitization and reprocessing,,
45,wish I would not wake up,,,knife to my throat,,,narcotics,,,shoot myself,,,suicide ripple effect,,,life isn't worth living,,,psychiatric facility,,,just want someone,,,I do not go out,,,grudge,,,gf,,,psychological abuse,,,sexual violence,,,grapple,,,hateful,,,hungover,,,chalk,,,bad judgement,,,defeat,,,drag,,,self-disgust,,,taboo,,,insomnia,,,depersonalization,,,stuck,,,adverse childhood experience,,,agitate,,,could not concentrate,,,miserable,,,uninspired,,,heartache,,,miscarriage,,,no meaning,,,feel nothing,,,it's too late,,,punctual,,,yawn,,,bad dream,,,abilify,,,talks too much,,,self-harm,,,kgs,,,fibromyalgia,,,community service,,,bankrupt,,,folx,,,derogatory,,,finance,,,therapy can't,,,facility,,
46,wish it would all end,,,make a will,,,noose,,,skin picking,,,suicide survivor,,,my death,,,psychiatric hospital,,,lack of social,,,I keep to myself,,,had left me,,,girlfriend,,,push me around,,,slut,,,gun,,,heated,,,intoxicant,,,cialis,,,careless,,,demoralize,,,drain,,,self-doubt,,,take the blame,,,irritability,,,derealization,,,suffocated,,,anxiety,,,agitation,,,could not think,,,misery,,,uninterested,,,heartbreak,,,missing my brother,,,no motivation,,,hollow,,,it's useless,,,relentless,,,I do not do much,,,bruxism,,,alogia,,,weight gain,,,splitting,,,laxative,,,fracture,,,confinement,,,beg,,,gay,,,discriminated,,,finances,,,therapy doesn't work,,,get help,,
47,would be better off dead,,,make it look like a accident,,,opiate,,,skin-picking,,,werther effect,,,my demise,,,psychiatric unit,,,left out,,,I stay at home,,,he's toxic,,,goddaughter,,,ridicule,,,stalk,,,gunshot,,,heated discussion,,,intoxication,,,cigarete,,,compulsive,,,failure,,,feel guilty about other care for I,,,self-hate,,,transgression,,,low self esteem,,,detachment,,,suffocating,,,assault,,,alert,,,deliberate,,,moody,,,uninvolved,,,hollow,,,missing my dad,,,no point,,,inner void,,,lost hope,,,rigid,,,I be beat,,,c - pap,,,antipsychotic,,,wellbutrin,,,too angry,,,lbs,,,hard of hearing,,,convict,,,chapter 11,,,gaydar,,,discrimination,,,financial crisis,,,therapy is expensive,,,grounding techniques,,
48,I could disappear,,,on the edge,,,over dose,,,slice my wrist,,,,,,my final act,,,psychiatric ward,,,lockdown,,,I use to go out,,,heartbreak,,,godfather,,,shamed me,,,stalking,,,hands on me,,,hostile,,,jameson,,,cigarette,,,erratic,,,falter,,,hindrance,,,shame,,,was wrong,,,mistrust,,,dissociate,,,there is no escape,,,avoidance,,,antsy,,,depressive thinking,,,morose,,,unmotivated,,,hopelessness,,,missing my friend,,,no purpose,,,lifeless,,,nihilistic,,,rigorous,,,brain fog,,,can not sleep,,,be watch I,,,seroquel,,,unsafe sex,,,lose weight,,,have a cold,,,cop,,,debt,,,gender,,,discriminatory,,,foreclosure,,,therapy is too expensive,,,group therapy,,
49,I want to die,,,over dose,,,over the counter drug,,,slit my wrists,,,,,,needs to be dead,,,urgent care,,,lone wolf,,,I be a private person,,,independence,,,godmother,,,shun,,,statutory rape,,,harm,,,hostility,,,keg,,,cocaine,,,excessive shopping,,,feel broken,,,imposition,,,shy,,,wicked,,,my heart is racing,,,dissociation,,,there is no exit,,,combat,,,anxious,,,depressive thought,,,negative,,,unsatisfying,,,hurt,,,missing my late,,,no reason to live,,,listless,,,no chance,,,scrupulous,,,burn out,,,circadian rhythm disorder,,,catatonia,,,antidepressant,,,unstable relationship,,,loss of appetite,,,have the flu,,,correction,,,deprivation,,,gender apathetic,,,diversity,,,funds,,,therapy won't help,,,hospitalization,,
50,well off dead,,,overdose,,,overdose,,,slitting my wrists,,,,,,no one will miss me,,,,,,loneliness,,,I be hide,,,infidelity,,,godparent,,,silent treatment,,,title ix,,,harm me,,,hot temper,,,liqour,,,codeine,,,flaky,,,feel powerless,,,inconvenience,,,something's wrong with me,,,wish I could take it back,,,my mind is racing,,,dread,,,to be free,,,complex ptsd,,,apprehension,,,feel judge,,,not happy,,,why bother,,,inner pain,,,missing my mom,,,nothing I want to achieve,,,meaninglessness,,,no end to this,,,self-critical,,,burn - out,,,cpap,,,circumstantiality,,,antipsychotic,,,unstable sense of self,,,malnourished,,,headache,,,correctional facility,,,deprive,,,gender binary,,,diversity and inclusion,,,furlough,,,they judge you,,,hospitalize,,
51,cease to exist,,,overdosing,,,overdosing,,,stab my self,,,,,,no point in living,,,,,,lonely,,,agoraphobia,,,jealous,,,godson,,,slander,,,took advantage of m,,,hit me,,,hot-headed,,,liquor,,,codone,,,hasty,,,give up,,,inconvenient,,,stammer,,,wrongdoing,,,nervous,,,fear,,,to break free,,,exposure therapy,,,can not sit still,,,feel my head could explode,,,numb,,,0,,,melancholic,,,missing my parent,,,nothing makes sense,,,nothingness,,,no escape,,,slip up,,,burnout,,,do not want to wake up,,,clang association,,,bipolar,,,BPD,,,malnutrition,,,hearing aid,,,criminal,,,destitute,,,gender diverse,,,dyke,,,gambling,,,treatment-resistant,,,in and out of the clinic,,
52,death wish,,,painless way out,,,pesticide,,,stabbing my self,,,,,,no reason to live,,,,,,lonesome,,,alienation,,,lack of communication,,,grandchild,,,social outcast,,,touched her,,,hits me,,,hothead,,,margarita,,,coke,,,hotheade,,,give up,,,intrusive,,,stigma,,,I be to blame,,,nightmare,,,fight or flight,,,trapped,,,fear conditioning,,,edgy,,,fixate,,,pessimistic,,,I can not enjoy,,,melancholy,,,missing my sister,,,pointless,,,null,,,no future,,,straight A's,,,burn out,,,doze,,,clang,,,cycle,,,DBT,,,my body,,,hearing impaired,,,criminal justice system,,,disadvantage,,,gender dysphoria,,,ethno-religious bias,,,gig,,,was forced to go to the hospital,,,in and out of the hospital,,
53,do not care about life,,,poison,,,pills,,,stabbing myself,,,,,,no way out,,,,,,long distance,,,antisocial,,,loveless,,,grandchildren,,,spread rumors about me,,,touched me,,,hitting,,,ill will,,,moderation,,,cold turkey,,,impromptu,,,humiliate,,,nuisance,,,stutter,,,I do not mean to,,,on edge,,,flight response,,,want to escape,,,fight or flight,,,fidgety,,,fixation,,,sad,,,I do not enjoy,,,mental anguish,,,missing people,,,purposeless,,,numb,,,no hope,,,straight As,,,burn - out,,,drowsy,,,clozapine,,,depress,,,anger,,,my thighs,,,hearing impairment,,,detain,,,disenfranchise,,,gender expansive,,,ethnocentrism,,,got fired,,,was hospitalized,,,ketamine,,
54,do not really want to live,,,pull the trigger,,,pistol,,,stick and poke tattoo,,,,,,nothing left to live for,,,,,,losing all my friends,,,asocial,,,loyalty,,,granddaughter,,,spreading rumors,,,touching me,,,insult,,,indignant,,,my sponsor,,,concerta,,,impulsive,,,inept,,,overbear,,,unattractive,,,I fuck up,,,on the edge,,,fright,,,want to get out,,,fight or flight response,,,frantic,,,get to the bottom of,,,sadness,,,I do not enjoy anything,,,mental pain,,,mother's passing,,,senseless,,,numbness,,,no light at the end of the tunnel,,,striving,,,can not do this anymore,,,fatigue,,,delusion,,,depression,,,angry quickly,,,not beautiful,,,heart attack,,,diversion program,,,economic crisis,,,gender expression,,,exclusion,,,grievance,,,I can not be fix,,,lithium,,
55,do not want to be alive,,,quick and easy,,,plastic bag,,,sticking a needle in my,,,,,,nothing to live for,,,,,,losing everyone,,,avoid everyone,,,manipulative,,,granddaughters,,,stay home from school,,,unwanted sex,,,intimidate,,,infuriated,,,pint,,,crack,,,impulsivity,,,inferior,,,put that on they,,,undeserving,,,I make a mistake,,,overthinking,,,heart racing,,,want to leave,,,flashback,,,hectic,,,indecisive,,,sertraline,,,anhedonia,,,misery,,,mourning,,,shitty life,,,purposeless,,,no relief,,,succeed at everything,,,collapse,,,groggy,,,delusional,,,elevate mood,,,attachment issue,,,not eating enough,,,heart failure,,,felony,,,financial aid,,,gender identity,,,fag,,,hustler,,,I talk to friend instead,,,medication,,
56,do not want to go on,,,quick and painless,,,poison,,,trichotillomania,,,,,,nothing to lose,,,,,,lost everyone,,,avoid people,,,marriage counseling,,,grandfather,,,talk bad about me,,,vagina,,,kick,,,intruding,,,pub,,,crank,,,intuitive,,,nothing work,,,put that upon they,,,unimportant,,,I mess up,,,overwhelm,,,helplessness,,,want to start again,,,ground technique,,,hurry,,,inner dialogue,,,somber,,,apathy,,,my heart be break,,,my brother died,,,superfluous,,,unfulfilled,,,no solution,,,successful,,,collapse,,,hypersomnia,,,derailment,,,energy boost,,,be reject,,,not hungry,,,herniated disk,,,forensic,,,financial crisis,,,gender nonconforming,,,faggot,,,impoverished,,,be talk down to,,,medicine,,
57,do not want to wake up,,,rope around my neck,,,precipice,,,urge to cut,,,,,,only thing keeping me going,,,,,,make friends,,,avoidant,,,mediation,,,grandma,,,talk behind my back,,,victim-blaming,,,kicked me,,,invading,,,recovery,,,craving,,,involuntary,,,out of steam,,,responsibility,,,unlovable,,,I should have know well,,,overwhelmed,,,horrify,,,I can not avoid,,,hypervigilance,,,hyperactive,,,intrusive thought,,,sorrow,,,bore,,,no relief,,,my dad died,,,there's no point to life,,,unoccupied,,,no way out,,,the better I do,,,comatose,,,insomnia,,,disorganize speech,,,erratic,,,borderline,,,not pretty,,,high blood pressure,,,frisk,,,food bank,,,gender roles,,,fanatical,,,income,,,can not be fix,,,meditation,,
58,do with live,,,run in front of traffic,,,prescription drug,,,wound myself,,,,,,ready to die,,,,,,make new friends,,,do not go anywhere,,,mistreat,,,grandmother,,,taunted,,,violate,,,kidnap,,,irate,,,rehab,,,cravings,,,jump the gun,,,succumb,,,sorry for exist,,,unworthiness,,,I should not have,,,panic,,,hyperventilate,,,I can not evade,,,intrusive thought,,,impatience,,,mental loop,,,teary,,,could care less,,,pain,,,my father died,,,trivial,,,vacuum,,,nothing can help,,,thorough,,,deadbeat,,,jet lag,,,disown I,,,euphoria,,,borderline personality disorder,,,number on the scale,,,high tension,,,halfway house,,,food insecurity,,,gender variant,,,fat shaming,,,inflation,,,can not be help,,,mindfulness,,
59,end it all,,,self-harm,,,razor,,,NSSI,,,,,,safety check,,,,,,need someone,,,do not trust anyone,,,monogamy,,,grandpa,,,tease,,,violated,,,knocked me,,,irritability,,,relapse,,,crystal,,,just do it,,,sunk,,,unworthy,,,unworthy,,,I should not have do that,,,panic attack,,,hypochondria,,,I have no control,,,military,,,impatient,,,moral dilemma,,,tragic,,,disintereste,,,psychache,,,my grandfather died,,,unfulfilled,,,void,,,pessimism,,,too demanding,,,deplete,,,melatonin,,,distort reality,,,fast talk,,,bpd,,,obese,,,hives,,,handcuff,,,foster care,,,genderfluid,,,feminism,,,insurance,,,can not get my medication,,,mood stabilizer,,
60,escape from reality,,,set myself on fire,,,revolver,,,abrasion,,,,,,safety plan,,,,,,never there for me,,,do not want to see anyone,,,my ex,,,grandparent,,,tease me,,,violation,,,lash out,,,irritable,,,rum,,,detox,,,just do it,,,surrender,,,useless,,,useless,,,I should not have say that,,,panic attacks,,,hysteria,,,I want out,,,nightmare,,,in motion,,,negative thought,,,unhappy,,,dissatisfied,,,psychological pain,,,my grandmother died,,,unfulfilling,,,,,,pessimistic,,,unrealistic expectations,,,do not have energy,,,narcolepsy,,,echolalia,,,gabapentin,,,break up,,,obesity,,,hormone,,,imprison,,,foster home,,,genderqueer,,,gender bias,,,investment,,,can not pay for treatment,,,motivational interviewing,,
61,eternal sleep,,,shoot myself,,,rope,,,bang my head,,,,,,severe depression,,,,,,no friends,,,do not want to talk to people,,,narcissis,,,grandparents,,,tell me to kill myself,,,was abused,,,murder,,,irritated,,,shot of,,,diazepam,,,knee - jerk,,,the end of my rope,,,waste of space,,,waste of space,,,I take responsibility,,,panic disorder,,,impend doom,,,I 've lose control,,,panic attack,,,irritable,,,obsess,,,upset,,,do not care,,,scar,,,my loss,,,unimportant,,,,,,pointless,,,winner,,,doze off,,,night terror,,,hallucinate,,,grandiose,,,break up,,,orthorexia,,,hypertension,,,imprison,,,get fire,,,girl,,,gender discrimination,,,job,,,confidential,,,need help,,
62,fade out,,,shooting myself,,,run in front of traffic,,,bang my head,,,,,,sick of life,,,,,,no one I can talk to,,,hermit,,,need space,,,grandson,,,terrorize,,,was touched,,,physical abuse,,,irritation,,,sober,,,do drugs,,,lack of control,,,undo,,,,,,what's wrong with me,,,I wish I have not,,,paranoia,,,meltdown,,,a fresh start,,,post - traumatic stress disorder,,,itchy,,,obsessive,,,weep,,,do not enjoy thing,,,torment,,,my mom died,,,valueless,,,,,,there's no hope,,,workaholic,,,drain,,,nightmare,,,hallucination,,,have not sleep,,,cut myself,,,over eat,,,infection,,,incarcerate,,,government aid,,,graysexual,,,gender pay gap,,,job security,,,cost of therapy,,,neurofeedback,,
63,fade away,,,slam my car,,,sedative,,,bash my head,,,,,,sick of my life,,,,,,no one cares,,,hikikomori,,,neglect,,,grandsons,,,took my lunch money,,,abuse,,,physical altercation,,,lash out,,,sobriety,,,dope,,,offhand,,,unfulfilled,,,,,,world will be better without me,,,I be to blame,,,petrified,,,mental breakdown,,,avoidance,,,ptsd,,,jittery,,,obsessive thinking,,,wistful,,,do not feel pleasure,,,torture,,,my mother died,,,void,,,,,,unachievable,,,I criticize,,,drowsy,,,not sleep,,,hear voice,,,high energy,,,cut,,,overweight,,,inflammation,,,incarcerate,,,government benefit,,,gynesexual,,,genderism,,,jobless,,,coverage,,,olanzapine,,
64,feel like die,,,slash my wrist,,,setting myself on fire,,,bite myself,,,,,,suicidal,,,,,,no one misses me,,,introversion,,,no privacy,,,granny,,,torment,,,abuse of power,,,physical harm,,,livid,,,spirits,,,doping,,,on a whim,,,unsuccessful,,,,,,worthless,,,I be wrong,,,phobia,,,need help,,,bind,,,rape,,,jumpy,,,overanalyze,,,without purpose,,,do not want to do anything,,,,,,my sister died,,,wandering,,,,,,unending misery,,,I do not succeed,,,exhaust,,,oversleep,,,logorrhea,,,hyperactive,,,dialectical behavior therapy,,,perfectionism,,,injury,,,inmate,,,government program,,,gynosexual,,,gerontophobia,,,laid off,,,deal with it on my own,,,omega-3,,
65,force to exist,,,slashing my wrists,,,sharp object,,,bite myself,,,,,,suicidal behavior,,,,,,no one to hang,,,introvert,,,passive-aggressive,,,half-brother,,,tough guy,,,assail,,,physically attacked,,,mad,,,tequila,,,dosage,,,on impulse,,,wear out,,,,,,I do not deserve to be here,,,accuse,,,phobic,,,nervous breakdown,,,bondage,,,replay the event,,,manic,,,overthinke,,,woeful,,,emotionally blunt,,,,,,obituary,,,what's the point of life,,,,,,without hope,,,I expect a lot,,,faint,,,restful,,,lose my mind,,,hypersexual,,,dysregulate,,,physical appearance,,,irritable bowel syndrome,,,jail,,,hardship,,,hermie,,,ghetto,,,landlord,,,denial,,,peer support,,
66,give up,,,slit my wrist,,,shoot myself,,,burn my face,,,,,,suicidal intent,,,,,,no one to talk,,,isolation,,,poly,,,half-sister,,,try to make me feel bad,,,assault,,,police,,,malevolent,,,the bar,,,dose,,,quick to,,,,,,,,,I be a burden,,,apologize,,,procrastinate,,,panic,,,breakout,,,safety planning,,,nervous,,,overwhelming thought,,,Celexa,,,emotionally flat,,,,,,our loss,,,without direction,,,,,,won't get it,,,I must always,,,fatigue,,,restless,,,olanzapine,,,hypomania,,,emotion regulation,,,pica,,,itch,,,jail cell,,,homeless,,,heterosexual,,,glass ceiling,,,layoff,,,discrimination,,,prescribe,,
67,hope I would not wake up,,,slitting my wrists,,,shooting myself,,,burn my hand,,,,,,suicidal tendencies,,,,,,no one to talk to,,,less social,,,polyamory,,,honeymoon,,,verbal abuse,,,blackmail,,,police report,,,malicious,,,the club,,,drug,,,rash,,,,,,,,,I be a disappointment,,,blame myself,,,racing thoughts,,,panic attack,,,cage,,,sexual assault,,,on edge,,,ponder,,,I feel sad all the time,,,emotionally numb,,,,,,pain of loss,,,without purpose,,,,,,I do not have a future,,,I should always,,,feed up,,,sedative,,,paranoia,,,hypomanic,,,erratic,,,pounds,,,kidney disease,,,jail sentence,,,impoverish,,,homophob,,,gulag,,,loan,,,doctor be condescend,,,primary care,,
68,lifeless,,,stab my self,,,shotgun,,,burn my skin,,,,,,suicidal thoughts,,,,,,no one to turn to,,,loneliness,,,possessive,,,house mate,,,I do not want to go to school,,,cock,,,pull my hair,,,malignant,,,tipsy,,,drugs,,,rash decision,,,,,,,,,I be a failure,,,confession,,,restless,,,panic dissociation,,,can not take it anymore,,,survivor,,,pace,,,preoccupy,,,MDD,,,emotionless,,,,,,pass away,,,without reason,,,,,,I will not accomplish,,,my family expect I,,,foggy,,,shift work,,,paranoid,,,impulsive,,,favorite person,,,purge,,,kidney stone,,,jail,,,indigent,,,homosexual,,,hate speech,,,lose my scholarship,,,doctor can not,,,professional help,,
69,never wake up,,,stabbing my self,,,skyscraper,,,burn myself,,,,,,suicidality,,,,,,no one wants me here,,,loner,,,power struggle,,,housemate,,,beat I up,,,coercion,,,punch,,,moody,,,twelve-step,,,dxm,,,reckless,,,,,,,,,I be a freak,,,critical of myself,,,restlessness,,,sense of doom,,,captive,,,survivor 's guilt,,,panic,,,procrastinate,,,Prozac,,,ennui,,,,,,passed away,,,worthlessness,,,,,,beyond help,,,absolute good,,,groggy,,,sleep,,,persecutory,,,impulsivity,,,fear I will be abandon,,,purging,,,leukemia,,,lock up,,,jobless,,,hormones,,,heterosexism,,,make ends meet,,,do not have health insurance,,,psychedelic,,
70,no reason to keep myself alive,,,stabbing myself,,,slice my wrist,,,carve my skin,,,,,,suicide,,,,,,no one will miss me,,,minimal social interaction,,,pregnancy,,,hubby,,,beat the shit out of I,,,consent,,,punched me,,,name calling,,,urge to drink,,,ecstasy,,,rush,,,,,,,,,I be a mistake,,,culpability,,,ruminate,,,shake,,,chain,,,trauma,,,race heart,,,rationalization,,,ssri,,,indifference,,,,,,put my cat down,,,I have no meaning,,,,,,bleak,,,achievement,,,jade,,,sleep apnea,,,persecutory delusion,,,increase energy,,,fear of abandonment,,,restrict,,,liver disease,,,miranda right,,,low - pay,,,identity crisis,,,hillbilly,,,million,,,do not have insurance,,,psychedelics,,
71,no reason to live,,,suffocating my,,,slitting my wrists,,,carve,,,,,,the end of my rope,,,,,,no partner,,,misanthropy,,,pregnant,,,husband,,,block she,,,date rape,,,push,,,offend,,,vodka,,,escitalopram,,,say thing without think,,,,,,,,,I be bore,,,do not mean to,,,rumination,,,stress response,,,chain,,,trauma - inform care,,,restless,,,rationalize,,,Zoloft,,,indifferent,,,,,,put my dog down,,,I have no purpose,,,,,,can not be help,,,all or nothing,,,jet - lag,,,sleep deprive,,,psych ward,,,insomnia,,,feel empty,,,restricting,,,malnourished,,,misdemeanor,,,malnourish,,,intersex,,,homophobia,,,money,,,do not need therapy,,,psychiatr,,
72,no will to live,,,suffocation,,,stab my self,,,choke myself,,,,,,thing that kept me going,,,,,,no social life,,,no social interaction,,,psychological abuse,,,in-laws,,,block he,,,extortion,,,pushed me,,,offensive,,,whiskey,,,fentanyl,,,snap decision,,,,,,,,,I be disgusting,,,error,,,scare,,,terrify,,,claustrophobia,,,trigger,,,shake,,,recur thought,,,anguish,,,insensitive,,,,,,remembrance,,,I be so lost,,,,,,can not go on,,,be perfect in everything I do,,,kaput,,,sleep disorder,,,psychiatric hospital,,,irritability,,,feeling of emptiness,,,skinny,,,malnutrition,,,officer,,,malnutrition,,,lady boy,,,homophobic,,,mortgage,,,do not trust psychiatrist,,,psychiatrist,,
73,oblivion,,,suicidal behavior,,,stabbing my self,,,cut myself,,,,,,tired of life,,,,,,nobody thinks about me,,,recluse,,,reach out,,,kin,,,block they,,,flashback,,,report him,,,on edge,,,whisky,,,gabapentin,,,spend too much,,,,,,,,,I be inadequate,,,ethical dilemma,,,social anxiety,,,terror,,,claustrophobic,,,verbal abuse,,,shaky,,,ruminate,,,anhedonia,,,joyless,,,,,,she died,,,sisyphean,,,,,,can not see,,,be judge,,,lack of energy,,,sleep hygiene,,,psychosis,,,klonopin,,,fp,,,skip meals,,,meningitis,,,parole,,,marginalize,,,ladyboy,,,immigrant,,,my credit,,,do not want to be hospitalize,,,psychoanalysis,,
74,painless death,,,suicidal intent,,,stabbing myself,,,cut,,,,,,want to end this,,,,,,nobody wants me here,,,reclusive,,,reconciliation,,,kindred,,,boss around,,,force into have sex,,,restrain,,,opposed,,,wine,,,get high,,,spend too much,,,,,,,,,I be not enough,,,fault,,,stress,,,tingle,,,confinement,,,victim,,,sleepless,,,rumination,,,antidepressant,,,lack of desire,,,,,,they are dead,,,absurdity,,,,,,crush,,,well possible,,,lethargic,,,sleep medication,,,psychotic,,,lamictal,,,gambling,,,starvation,,,metastasis,,,penitentiary,,,no cash,,,lesbian,,,incel,,,negotiate,,,do not want to be judge,,,psycholog,,
75,peaceful death,,,suicide attempt,,,suffocation,,,cut my wrist,,,,,,want to not be here,,,,,,not in a relationship,,,seclusion,,,relationship was toxic,,,mama,,,bossy,,,force I to have sex,,,restraining order,,,outburst,,,withdrawal,,,hallucinate,,,spontaneous,,,,,,,,,I be nothing,,,feel bad,,,tense,,,tremble,,,cornered,,,violence,,,stress,,,speculation,,,apathy,,,lack of interest,,,,,,tragic,,,adrift,,,,,,crush,,,burnout,,,low energy,,,sleep study,,,quetiapine,,,lamotrigine,,,go to leave I,,,starve,,,migraine,,,police,,,no money,,,lgbt,,,inclusion,,,network,,,do not want to be lock up,,,psychologist,,
